report_table,table_headers,first_line_data
collusion_rule_settings,"key, value","{""key"":""fraud_rule_configs"",""value"":""[{\""rule_id\"": 1, \""name\"": \""Baseline BB/Rake Ratio\"", \""category\"": \""General\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": 300, \""roi_range\"": {\""from\"": -10, \""to\"": null}, \""profit_range\"": {\""from\"": 50, \""to\"": null}, \""rake_floor\"": -10}, \""description_template\"": \""Flags low-rake grinders paying less than {rake_per_hand_max_bb} BB per hand at stakes above {min_suspicious_bb} BB with at least {rule1_min_hands} hands.\"", \""parameters\"": {\""min_suspicious_bb\"": 10, \""rake_per_hand_max_bb\"": 0.02, \""rule1_min_hands\"": 500}, \""active\"": true}, {\""rule_id\"": 2, \""name\"": \""Burner / New Pro Accounts\"", \""category\"": \""Collusion Suspect\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": null, \""roi_range\"": {\""from\"": 200, \""to\"": null}, \""profit_range\"": {\""from\"": 100, \""to\"": null}, \""rake_floor\"": null}, \""description_template\"": \""Flags accounts younger than {max_age_days} days with session ROI above {burner_roi_threshold}%.\"", \""parameters\"": {\""max_age_days\"": 7, \""burner_roi_threshold\"": 400}, \""active\"": true}, {\""rule_id\"": 3, \""name\"": \""Impossible Win Rate\"", \""category\"": \""Bot Suspect\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": 300, \""roi_range\"": {\""from\"": -10, \""to\"": null}, \""profit_range\"": {\""from\"": 50, \""to\"": null}, \""rake_floor\"": -10}, \""description_template\"": \""Flags players winning more than {oracle_threshold}% of hands over at least {rule3_min_hands} hands with profit exceeding {rule3_min_profit}. Sniper mode: players with fewer than {min_hands_threshold} aggregate hands are never flagged for BB/100 or Payout anomalies.\"", \""parameters\"": {\""oracle_threshold\"": 40, \""rule3_min_hands\"": 300, \""rule3_min_profit\"": 500, \""min_hands_threshold\"": 200}, \""active\"": true}, {\""rule_id\"": 4, \""name\"": \""Chip Dumping (Receiver)\"", \""category\"": \""Chip Dumping\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": null, \""roi_range\"": {\""from\"": 200, \""to\"": null}, \""profit_range\"": {\""from\"": 100, \""to\"": null}, \""rake_floor\"": null}, \""description_template\"": \""Flags sessions with at most {rule4_max_hands} hands and profit of at least {rule4_min_bb} BB.\"", \""parameters\"": {\""rule4_max_hands\"": 60, \""rule4_min_bb\"": 300}, \""active\"": true}, {\""rule_id\"": 5, \""name\"": \""Stake Jump (Kamikaze)\"", \""category\"": \""General\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": null, \""roi_range\"": {\""from\"": null, \""to\"": null}, \""profit_range\"": {\""from\"": null, \""to\"": null}, \""rake_floor\"": null}, \""description_template\"": \""Flags sessions where Big Blind is at least {stake_jump_mult}x the player's historical average stake.\"", \""parameters\"": {\""stake_jump_mult\"": 3}, \""active\"": true}, {\""rule_id\"": 6, \""name\"": \""Vampire / Over-Activity\"", \""category\"": \""General\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": 300, \""roi_range\"": {\""from\"": -10, \""to\"": null}, \""profit_range\"": {\""from\"": 50, \""to\"": null}, \""rake_floor\"": -10}, \""description_template\"": \""Flags players active for more than {rule6_min_unique_hours} unique hours within a rolling 24-hour window.\"", \""parameters\"": {\""rule6_min_unique_hours\"": 18}, \""active\"": true}, {\""rule_id\"": 7, \""name\"": \""Syndicate / Network Pairing\"", \""category\"": \""Team Play\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": null, \""roi_range\"": {\""from\"": null, \""to\"": null}, \""profit_range\"": {\""from\"": null, \""to\"": null}, \""rake_floor\"": null}, \""description_template\"": \""Flags players who share at least {pairing_rate_min_hands} hands with a partner and have pairing rate above {pairing_rate_threshold_pct}%.\"", \""parameters\"": {\""pairing_rate_min_hands\"": 200, \""pairing_rate_threshold_pct\"": 80}, \""active\"": true}, {\""rule_id\"": 8, \""name\"": \""Ghost Overlap / Simultaneous Starts\"", \""category\"": \""Team Play\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": 50, \""roi_range\"": {\""from\"": null, \""to\"": null}, \""profit_range\"": {\""from\"": 0, \""to\"": 100}, \""rake_floor\"": null}, \""description_template\"": \""Flags players who launch {rule8_min_overlap} or more sessions at the exact same second.\"", \""parameters\"": {\""rule8_min_overlap\"": 3}, \""active\"": true}, {\""rule_id\"": 9, \""name\"": \""Rake Snipers / Soft Play\"", \""category\"": \""Bot Suspect\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": 300, \""roi_range\"": {\""from\"": -10, \""to\"": null}, \""profit_range\"": {\""from\"": 50, \""to\"": null}, \""rake_floor\"": -10}, \""description_template\"": \""Flags players with win rate \\u2265 {min_win_pct}% while paying less than {max_rake_per_hand} rake per hand (min {rule9_min_hands} hands).\"", \""parameters\"": {\""min_win_pct\"": 15, \""max_rake_per_hand\"": 0.001, \""rule9_min_hands\"": 500}, \""active\"": true}, {\""rule_id\"": 10, \""name\"": \""Network-Flagged Colluders\"", \""category\"": \""Collusion Suspect\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": null, \""roi_range\"": {\""from\"": null, \""to\"": null}, \""profit_range\"": {\""from\"": null, \""to\"": null}, \""rake_floor\"": null}, \""description_template\"": \""Highlights players with at least {min_flags} platform collusion flags (e.g. iPoker network).\"", \""parameters\"": {\""min_flags\"": 1}, \""active\"": true}, {\""rule_id\"": 11, \""name\"": \""Hardware Twins (Multi-Accounting)\"", \""category\"": \""Multi-Accounting\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": 50, \""roi_range\"": {\""from\"": null, \""to\"": null}, \""profit_range\"": {\""from\"": null, \""to\"": null}, \""rake_floor\"": null}, \""description_template\"": \""Flags hardware signatures (Serial/IP) shared by at least {min_accounts} distinct nicknames.\"", \""parameters\"": {\""min_accounts\"": 2}, \""active\"": true}, {\""rule_id\"": 12, \""name\"": \""Proxy/VPN Rotators\"", \""category\"": \""General\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": 50, \""roi_range\"": {\""from\"": null, \""to\"": null}, \""profit_range\"": {\""from\"": null, \""to\"": null}, \""rake_floor\"": null}, \""description_template\"": \""Flags accounts using at least {rule12_min_subnets} different IP subnets on a single device in one day.\"", \""parameters\"": {\""rule12_min_subnets\"": 6}, \""active\"": true}, {\""rule_id\"": 13, \""name\"": \""Login Anchor (Bot Farm)\"", \""category\"": \""Bot Suspect\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": null, \""roi_range\"": {\""from\"": null, \""to\"": null}, \""profit_range\"": {\""from\"": null, \""to\"": null}, \""rake_floor\"": null}, \""description_template\"": \""Flags clusters of at least {rule13_min_accounts} accounts logging in from the same IP within a 10-minute window over the last {rule13_lookback_days} days.\"", \""parameters\"": {\""rule13_min_accounts\"": 5, \""rule13_lookback_days\"": 7}, \""active\"": true}, {\""rule_id\"": 14, \""name\"": \""Wallet Leak (Chip Dumper)\"", \""category\"": \""Chip Dumping\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": null, \""roi_range\"": {\""from\"": null, \""to\"": null}, \""profit_range\"": {\""from\"": null, \""to\"": null}, \""rake_floor\"": null}, \""description_template\"": \""Flags players with lifetime loss greater than {rule14_min_loss} and highly suspicious win rate (min 50 cash hands).\"", \""parameters\"": {\""rule14_min_loss\"": 500}, \""active\"": true}, {\""rule_id\"": 15, \""name\"": \""Small Game Squeeze / Mule\"", \""category\"": \""Chip Dumping\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": null, \""roi_range\"": {\""from\"": 200, \""to\"": null}, \""profit_range\"": {\""from\"": 100, \""to\"": null}, \""rake_floor\"": null}, \""description_template\"": \""Flags coordination in small games (\\u226410 players) where 2+ accounts share Game IP.\"", \""parameters\"": {\""rule15_min_players\"": 10}, \""active\"": true}, {\""rule_id\"": 16, \""name\"": \""Satellite Sacrifice (MTT Syndicate)\"", \""category\"": \""Team Play\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": null, \""roi_range\"": {\""from\"": null, \""to\"": null}, \""profit_range\"": {\""from\"": null, \""to\"": null}, \""rake_floor\"": null}, \""description_template\"": \""Flags pairs entering the same tournament sharing device/IP (MTT syndicate).\"", \""parameters\"": {}, \""active\"": true}, {\""rule_id\"": 17, \""name\"": \""Twister Squeeze (SNG Syncing)\"", \""category\"": \""Team Play\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": 50, \""roi_range\"": {\""from\"": null, \""to\"": null}, \""profit_range\"": {\""from\"": null, \""to\"": null}, \""rake_floor\"": null}, \""description_template\"": \""Flags 3-handed games where 2+ players share Serial or IP (2-vs-1 collusion).\"", \""parameters\"": {}, \""active\"": true}, {\""rule_id\"": 18, \""name\"": \""Laundering Donor (Chip Dump Source)\"", \""category\"": \""Chip Dumping\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": null, \""roi_range\"": {\""from\"": 200, \""to\"": null}, \""profit_range\"": {\""from\"": 100, \""to\"": null}, \""rake_floor\"": null}, \""description_template\"": \""Flags chip-dumping sources: loss of at least {rule18_max_loss_bb} BB in {rule18_min_hands}\\u2013{rule18_max_hands} hands.\"", \""parameters\"": {\""rule18_min_hands\"": 1, \""rule18_max_hands\"": 15, \""rule18_max_loss_bb\"": -100}, \""active\"": true}, {\""rule_id\"": 19, \""name\"": \""Multi-Account Ghost\"", \""category\"": \""Multi-Accounting\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": 50, \""roi_range\"": {\""from\"": null, \""to\"": null}, \""profit_range\"": {\""from\"": null, \""to\"": null}, \""rake_floor\"": null}, \""description_template\"": \""Flags device clusters (Serial/IP) with at least {rule19_min_accounts} distinct nicknames.\"", \""parameters\"": {\""rule19_min_accounts\"": 3}, \""active\"": true}, {\""rule_id\"": 20, \""name\"": \""Laundering Correlation\"", \""category\"": \""Chip Dumping\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": null, \""roi_range\"": {\""from\"": 200, \""to\"": null}, \""profit_range\"": {\""from\"": 100, \""to\"": null}, \""rake_floor\"": null}, \""description_template\"": \""Flags laundering chain correlations (financial flow and device overlap).\"", \""parameters\"": {}, \""active\"": true}, {\""rule_id\"": 21, \""name\"": \""Cash Table Squeeze (Team Play)\"", \""category\"": \""Bot Suspect\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": 300, \""roi_range\"": {\""from\"": -10, \""to\"": null}, \""profit_range\"": {\""from\"": 50, \""to\"": null}, \""rake_floor\"": -10}, \""description_template\"": \""Flags multiple winners at the same cash table (Session code, Big blind, Date) sharing Serial or IP.\"", \""parameters\"": {}, \""active\"": true}, {\""rule_id\"": 22, \""name\"": \""Efficiency Anomaly\"", \""category\"": \""Bot Suspect\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": 300, \""roi_range\"": {\""from\"": -10, \""to\"": null}, \""profit_range\"": {\""from\"": 50, \""to\"": null}, \""rake_floor\"": -10}, \""description_template\"": \""Flags players who exceed {payout_threshold}% Payout with more than {min_bets} bets in a single day.\"", \""parameters\"": {\""payout_threshold\"": 180, \""min_bets\"": 50}, \""active\"": true}, {\""rule_id\"": 23, \""name\"": \""Skin Hopper\"", \""category\"": \""Multi-Accounting\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": null, \""roi_range\"": {\""from\"": null, \""to\"": null}, \""profit_range\"": {\""from\"": null, \""to\"": null}, \""rake_floor\"": null}, \""description_template\"": \""Flags accounts active across at least {min_skins} cardrooms on the same day.\"", \""parameters\"": {\""min_skins\"": 2}, \""active\"": true}, {\""rule_id\"": 24, \""name\"": \""Anti-VPN (Geo-Imposter)\"", \""category\"": \""Multi-Accounting\"", \""risk_level\"": \""Medium\"", \""weight\"": 0.5, \""exclusions\"": {\""min_hands\"": 300, \""roi_range\"": {\""from\"": -10, \""to\"": null}, \""profit_range\"": {\""from\"": 50, \""to\"": null}, \""rake_floor\"": -10}, \""description_template\"": \""Flags same Serial hosting accounts registered in at least {min_countries} different countries.\"", \""parameters\"": {\""min_countries\"": 2}, \""active\"": true}]""}"
mtt_info_per_player,"Username, Nickname, Cardroom, Country, Sign-up date, Frozen, Tournament name, Tournament ID, Start date, End date, Game type (Bet type), CertifiedGameName, Registration method, Jackpot name, Buy-in, Fee, Jackpot fee, # of players, Position, Prize money, Jackpot wins, Prize money token value, iPoints earned, Status points earned, Number of rebuys, Amount of addons, Interrupted fees, Game ip, Game serial, iPoints buy-in amount, Satellite, Client Platform, Original currency, Currency","{""Username"":""JASON133"",""Nickname"":""moonblank614"",""Cardroom"":""boylepokeruw4"",""Country"":""Ireland"",""Sign-up date"":""2022-06-25 19:16:30"",""Frozen"":""No"",""Tournament name"":""Boyles EU100 Freeroll"",""Tournament ID"":1155374958,""Start date"":""2026-02-28 20:00:01"",""End date"":""2026-03-01 00:02:42"",""Game type (Bet type)"":""Holdem(No limit)"",""CertifiedGameName"":""Texas Hold'em"",""Registration method"":""cash"",""Jackpot name"":null,""Buy-in"":0,""Fee"":0,""Jackpot fee"":null,""# of players"":444,""Position"":164,""Prize money"":0,""Jackpot wins"":0,""Prize money token value"":0,""iPoints earned"":0,""Status points earned"":0,""Number of rebuys"":0,""Amount of addons"":0,""Interrupted fees"":0,""Game ip"":""86.45.113.191"",""Game serial"":""c0f1a66b-2c0b-4d0d-b888-db0141d4d1e4"",""iPoints buy-in amount"":null,""Satellite"":""No"",""Client Platform"":""Platform Mobile Native - Android Smartphone"",""Original currency"":""EUR"",""Currency"":""EUR""}"
major_income_sessionsV2,"Player code, Username, Nickname, Country, Real sign up date, Frozen, iPoker collusion, Player lifetime rake, Session code, Start date, End date, Duration (seconds), Big blind, Buy, Win, % Win, Rake, Bets, Wins, # of hands, # of won hands, % of won hands, Currency","{""Player code"":39684060,""Username"":""MRmate78"",""Nickname"":""MRmate78"",""Country"":""United Kingdom"",""Real sign up date"":""2026-03-07 01:27:40"",""Frozen"":""No"",""iPoker collusion"":""No"",""Player lifetime rake"":149.86,""Session code"":8586825726,""Start date"":""2026-03-07 05:41:51"",""End date"":""2026-03-07 08:14:34"",""Duration (seconds)"":9163,""Big blind"":2,""Buy"":84.64,""Win"":1047.84,""% Win"":1238,""Rake"":79.37,""Bets"":3512.56,""Wins"":4475.76,""# of hands"":175,""# of won hands"":51,""% of won hands"":29.14,""Currency"":""EUR""}"
Tournament_results_with_Game_Serials_and_Ips,"Place, Tournament ID, Tournament name, Nickname, Username, Casino, Country, Frozen, iPoker collusion, Real signup date, Game IP, Game Serial, Bets + Fees, Total Win, Currency","{""Place"":1,""Tournament ID"":1124438280,""Tournament name"":""[8] RPT Plymouth"",""Nickname"":""WestPirate"",""Username"":""9009799"",""Casino"":""grosvenor.poker"",""Country"":""United Kingdom"",""Frozen"":""No"",""iPoker collusion"":null,""Real signup date"":""16-MAR-24"",""Game IP"":""84.65.49.161"",""Game Serial"":""b1j9vi17077"",""Bets + Fees"":70,""Total Win"":70,""Currency"":""GBP""}"
cash_games_player_stats,"Username, Nickname, Player code, Casino, Hands, VPIP, PFR, 3-bet, 4-bet, Limp, WTSD, Flop Cbet, Turn Cbet, River Cbet, Post flop AGG, Attempt to Steal, Fold vs Flop Cbet, Call vs Flop Cbet, Raise vs Flop Cbet, Delayed CBet, Donk Bet Turn, WSD, Overbet River","{""Username"":""115821693"",""Nickname"":""Kitte365"",""Player code"":32677128,""Casino"":""svenskaspel"",""Hands"":108,""VPIP"":40.19,""PFR"":16.82,""3-bet"":14.29,""4-bet"":0,""Limp"":21.74,""WTSD"":46.94,""Flop Cbet"":62.5,""Turn Cbet"":50,""River Cbet"":0,""Post flop AGG"":34.92,""Attempt to Steal"":35.29,""Fold vs Flop Cbet"":50,""Call vs Flop Cbet"":50,""Raise vs Flop Cbet"":0,""Delayed CBet"":0,""Donk Bet Turn"":0,""WSD"":60.87,""Overbet River"":0}"
account_information,"Cardroom, Username, Nickname, Country, Signup date + time, Frozen, Signup IP, Signup serial, Date first rake","{""Cardroom"":""sportiumbet.mx"",""Username"":""Flaca1937"",""Nickname"":""Flaca1937"",""Country"":""Mexico"",""Signup date + time"":""2026-03-01 00:00:00"",""Frozen"":""Not frozen"",""Signup IP"":null,""Signup serial"":null,""Date first rake"":null}"
game_stats_by_player,"Date, Cardroom, Username, Bets, Wins, Payout %, Rake, Net wins, Tournament fee, Currency","{""Date"":""04-MAR-26"",""Cardroom"":""bet365poker"",""Username"":""CAPTAINMAD"",""Bets"":32.27,""Wins"":45.2,""Payout %"":140.1,""Rake"":1.651283,""Net wins"":12.93,""Tournament fee"":0,""Currency"":""EUR""}"
Account_information,"Cardroom, Username, Nickname, Country, Signup date + time, Frozen, Signup IP, Signup serial, Date first rake","{""Cardroom"":""skypoker.com"",""Username"":""509380265"",""Nickname"":""509380265"",""Country"":""United Kingdom"",""Signup date + time"":""2026-03-04 22:00:22"",""Frozen"":""Not frozen"",""Signup IP"":""92.40.201.96"",""Signup serial"":""d3ef573cf55b80790f83ccfa5b490b17"",""Date first rake"":null}"
investigation_cases,"id, player_code, player_nickname, risk_score, triggered_scenarios, status, assigned_agent, decision_summary, created_at, updated_at, net_profit, roi, win_rate, total_hands, lifetime_rake, network_data, category, primary_tag, tag","{""id"":2,""player_code"":""37599154"",""player_nickname"":""MyDream"",""risk_score"":100,""triggered_scenarios"":""Rule 1: [Cash] (Rake Anomaly): Player paid $0.1428 rake per hand over 380 hands (Threshold: > $0.0100). | Rule 3: [Cash] (Oracle): Mathematically impossible win rate of 53.86 BB/100 over 380 hands (Threshold: > 25.0 BB/100)."",""status"":""Open"",""assigned_agent"":null,""decision_summary"":null,""created_at"":""2026-03-08T12:46:11.963082+00:00"",""updated_at"":""2026-03-08T13:11:50.597915+00:00"",""net_profit"":1710.13421256818,""roi"":172.53,""win_rate"":31.88,""total_hands"":5364,""lifetime_rake"":991.2203775218306,""network_data"":{""total_mtts"": 4, ""mtt_win_pct"": 0.0, ""cash_win_pct"": 100.0, ""total_sessions"": 3},""category"":""Bot Suspect"",""primary_tag"":null,""tag"":""ORACLE_BOT""}"
fraud_rule_configs,"id, rule_id, rule_name, category, parameters, is_active, updated_at, dynamic_description, risk_level, weight, exclusions","{""id"":5,""rule_id"":3,""rule_name"":""Impossible Win Rate"",""category"":""Bot Suspect"",""parameters"":{""rule3_min_hands"": 300, ""oracle_threshold"": 40, ""rule3_min_profit"": 500, ""min_hands_threshold"": 200},""is_active"":true,""updated_at"":""2026-03-07T12:50:44.955452"",""dynamic_description"":""Flags players winning more than {oracle_threshold}% of hands over at least {rule3_min_hands} hands with profit exceeding {rule3_min_profit}. Sniper mode: do not flag BB/100 or Payout anomalies if player has fewer than {min_hands_threshold} aggregate hands."",""risk_level"":""Critical"",""weight"":0.8,""exclusions"":{""min_hands"": 300, ""roi_floor"": -10, ""roi_range"": {""to"": null, ""from"": -10}, ""min_profit"": 50, ""rake_floor"": -10, ""profit_range"": {""to"": null, ""from"": 50}}}"
